Stratum;Plot ;Individual ;Specie ;Height;Diameter
1;2;93;Stenocalyx dysentericus;2.5;7
1;2;94;Qualya parvifora;2;7
1;2;95;Stenocalyx dysentericus;4;6.68
1;2;96;Qualya parvifora;3.5;6.68
1;2;97;Machaerium opacum;3.5;6.68
1;2;98;Qualya parvifora;3;6.68
1;2;99;Qualya parvifora;2.5;6.68
1;2;100;Lafoensia pacari;2.5;6.68
1;2;101;Qualya parvifora;2;6.68
1;2;102;Qualya parvifora;4;6.37
1;2;103;Stenocalyx dysentericus;3.5;6.37
1;2;104;Stenocalyx dysentericus;3;6.37
1;2;105;Qualya parvifora;3;6.37
1;2;106;Stenocalyx dysentericus;3;6.37
1;2;107;Stenocalyx dysentericus;2.5;6.37
1;2;108;Qualya parvifora;2;6.37
1;2;109;Qualya parvifora;2;6.37
1;2;110;Spondias tuberosa;2;6.37
1;2;111;Vernonia polysphaera;2;6.37
1;2;112;Qualya parvifora;2;6.37
1;2;113;Erioteca pubescens;3;6.05
1;2;114;Andira cujabensis;2.5;6.05
1;2;115;Qualya parvifora;2.5;6.05
1;2;116;Stenocalyx dysentericus;2;6.05
1;2;117;Qualya parvifora;2;6.05
1;2;118;Stenocalyx dysentericus;2;6.05
1;2;119;Erioteca pubescens;3;5.73
1;2;120;Stenocalyx dysentericus;2;5.73
2;3;121;Cariocar braziliense;9;42.65
2;3;122;Cariocar braziliense;9;30.56
2;3;123;Cariocar braziliense;9;26.74
2;3;124;Pterodon emarginatus;7.5;19.1
2;3;125;Dimorphandra molles;7;18.46
2;3;126;Bowdichia virgilioides;6;14.32
2;3;127;Simarouba versicolor;5;14.01
2;3;128;Cariocar braziliense;4.5;13.37
2;3;129;Qualya parvifora;4;10.23
2;3;130;Andira cujabensis;6;9.55
2;3;131;Stenocalyx dysentericus;4;9.55
2;3;132;Cariocar braziliense;5;9.55
2;3;133;Erioteca pubescens;4.5;8.92
2;3;134;Protium spruceanum;4;9.23
2;3;135;Dimorphandra molles;4;9.23
2;3;136;Bowdichia virgilioides;5;8.62
2;3;137;Simarouba versicolor;3.5;8.59
2;3;138;Qualya parvifora;3;8.59
2;3;139;Pouteria ramiflora;3;8.28
2;3;140;Qualya parvifora;3;8.28
2;3;141;Qualya parvifora;3;8.28
2;3;142;Qualya parvifora;3;8.28
2;3;143;Annona cacans;4;8.28
2;3;144;Byrsonima crassifólia;4;7.96
2;3;145;Qualya parvifora;3;7.96
2;3;146;Qualya parvifora;3;7.96
2;3;147;Qualya parvifora;3;7.32
2;3;148;Qualya parvifora;2.5;7.32
2;3;149;Stenocalyx dysentericus;2.5;7.32
2;3;150;Stenocalyx dysentericus;3;7
2;3;151;Pouteria ramiflora;3;7
2;3;152;Hymenaea stilbocarpa;4;6.57
2;3;153;Sclerolobium paniculatum;5;6.55
2;3;154;Byrsonima crassifólia;3;7
2;3;155;Qualya parvifora;2;7
2;3;156;Qualya parvifora;2.5;7
2;3;157;Stenocalyx dysentericus;3;6.68
2;3;158;Qualya parvifora;2;6.68
2;3;159;Stenocalyx dysentericus;3;6.68
2;3;160;Qualya parvifora;2;6.68
2;3;161;Hymenaea stilbocarpa;3;6.68
2;3;162;Andira cujabensis;2;6.68
2;3;163;Annona cacans;3;6.68
2;3;164;Qualya parvifora;2.5;6.68
2;3;165;Pouteria ramiflora;2.5;6.05
2;3;166;Qualya parvifora;2;6.05
2;3;167;Stenocalyx dysentericus;2;6.68
2;3;168;Pouteria ramiflora;2;6.68
2;3;169;Qualya parvifora;2;6.68
2;3;170;Qualya parvifora;3;6.05
2;3;171;Stenocalyx dysentericus;2;6.05
2;3;172;Stenocalyx dysentericus;3;6.05
2;3;173;Qualya parvifora;2;6.05
2;3;174;Byrsonima crassifólia;3.5;5.1
2;3;175;Simarouba versicolor;3;5.41
2;3;176;Andira cujabensis;2.5;5.41
2;3;177;Astronium balansae;2.5;5.41
2;3;178;Pouteria ramiflora;2.5;5.41
2;3;179;Annona cacans;4;5.41
2;4;180;Cariocar braziliense;6;11.95
2;4;181;Cariocar braziliense;11;30.24
2;4;182;Cariocar braziliense;8;29.92
2;4;183;Cariocar braziliense;7;23.24
2;4;184;Cariocar braziliense;7.5;22.92
2;4;185;Cariocar braziliense;10;21.96
2;4;186;Cariocar braziliense;6;20.37
2;4;187;Cariocar braziliense;6;19.74
2;4;188;Astronium balansae;9;19.1
2;4;189;Cariocar braziliense;8;19.1
2;4;190;Cariocar braziliense;5;19.1
2;4;191;Pouteria ramiflora;4;13.69
2;4;192;Qualya parvifora;2.5;13.37
2;4;193;Maprounea guianensis;6;13.37
2;4;194;Cariocar braziliense;3.5;13.37
2;4;195;Annona cacans;6;10.82
2;4;196;Pouteria ramiflora;4;10.82
2;4;197;Qualya parvifora;2;10.19
2;4;198;Pouteria ramiflora;4;9.55
2;4;199;Qualya parvifora;5;8.91
2;4;200;Qualya parvifora;5;8.91
2;4;201;Bowdichia virgilioides;5;8.91
2;4;202;Annona cacans;3;8.91
2;4;203;Qualya parvifora;2;8.59
2;4;204;Qualya parvifora;3;8.59
2;4;205;Maprounea guianensis;4;7.96
2;4;206;Andira cujabensis;3.5;7.96
2;4;207;Magonia pubescens;3.5;7.96
2;4;208;Cariocar braziliense;4;7.32
2;4;209;Pouteria ramiflora;3.5;7.32
2;4;210;Hymenaea stilbocarpa;3;6.68
2;4;211;Qualya parvifora;2;6.37
2;4;212;Hymenaea stilbocarpa;4;5.73
2;4;213;Pouteria ramiflora;2.5;5.73
2;4;214;Qualya parvifora;2.5;5.41
2;4;215;Qualya parvifora;3;5.73
2;4;216;Qualya parvifora;2;5.73
2;4;217;Qualya parvifora;2;6.05
2;4;218;Qualya parvifora;2.5;5.09
2;4;219;Qualya parvifora;4;5.14
2;4;220;Qualya parvifora;2;5.41
2;4;221;Qualya parvifora;2;5.73
2;4;222;Stenocalyx dysentericus;2.5;5.41
2;4;223;Stenocalyx dysentericus;3;5.41
2;4;224;Qualya parvifora;2;5.73
3;5;225;Cariocar braziliense;8.5;24.83
3;5;226;Stenocalyx dysentericus;7;12.73
3;5;227;Cariocar braziliense;8;35.65
3;5;228;Pterodon emarginatus;8;27.37
3;5;229;Cariocar braziliense;11;25.15
3;5;230;Cariocar braziliense;5;20.69
3;5;231;Cariocar braziliense;7;18.78
3;5;232;Astronium balansae;7;17.51
3;5;233;Cariocar braziliense;6;16.55
3;5;234;Astronium balansae;5;16.55
3;5;235;Astronium balansae;4.5;16.55
3;5;236;Pouteria ramiflora;4;14.32
3;5;237;Pouteria ramiflora;4.5;14.01
3;5;238;Solanum lycocarpum;2;13.37
3;5;239;Andira inermis;5;11.78
3;5;240;Pouteria ramiflora;4;11.78
3;5;241;Pouteria ramiflora;6;9.87
3;5;242;Lafoensia pacari;4;9.87
3;5;243;Qualya parvifora;3;9.87
3;5;244;Stenocalyx dysentericus;4;9.23
3;5;245;Cecropia pachystachya;4;8.91
3;5;246;Cariocar braziliense;5;8.28
3;5;247;Hymenaea stilbocarpa;6;8.28
3;5;248;Cariocar braziliense;4;7.96
3;5;249;Pouteria ramiflora;4;7.64
3;5;250;Qualya parvifora;3;7.64
3;5;251;Solanum lycocarpum;3;7.32
3;5;252;Hymenaea stilbocarpa;5;7.32
3;5;253;Stenocalyx dysentericus;2.5;7.32
3;5;254;Astronium balansae;3;7
3;5;255;Hymenaea stilbocarpa;5;6.68
3;5;256;Qualya parvifora;2;6.68
3;5;257;Andira cujabensis;2.2;5.73
3;5;258;Magonia pubescens;2.5;5.73
3;5;259;Qualya parvifora;2.5;5.73
3;6;260;Qualya parvifora;2;10.19
3;6;261;Stenocalyx dysentericus;2;10.5
3;6;262;Stenocalyx dysentericus;2;9.23
3;6;263;Sclerolobium paniculatum;2.5;14.96
3;6;264;Stenocalyx dysentericus;2;8.59
3;6;265;Spondias tuberosa;4;21.96
3;6;266;Sclerolobium paniculatum;7;27.69
3;6;267;Cariocar braziliense;2;9.55
3;6;268;Solanum lycocarpum;2.5;11.14
3;6;269;Cariocar braziliense;4;24.83
3;6;270;Stenocalyx dysentericus;2;10.19
3;6;271;Sclerolobium paniculatum;4;20.69
3;6;272;Stenocalyx dysentericus;2;10.82
3;6;273;Stenocalyx dysentericus;2.5;13.37
3;6;274;Sclerolobium paniculatum;3.5;21.65
3;6;275;Stenocalyx dysentericus;2;11.78
3;6;276;Stenocalyx dysentericus;3;13.05
3;6;277;Dipteryx alata;2;23
3;6;278;Cariocar braziliense;2;24
3;6;279;Dipteryx alata;2.5;14.64
3;6;280;Palicourea rigida;2;10.82
3;6;281;Palicourea rigida;2;11.46
3;6;282;Alibertia edulis;2;9.87
3;6;283;Dipteryx alata;2;12
3;6;284;Stenocalyx dysentericus;2.5;9.23
3;6;285;Cariocar braziliense;3;15.92
3;6;286;Stenocalyx dysentericus;2;12.1
3;6;287;Cariocar braziliense;3;17.83
3;6;288;Cariocar braziliense;2;12.1
3;6;289;Cariocar braziliense;3.5;26
3;6;290;Qualya parvifora;2.5;5.73
3;6;291;Qualya parvifora;2.2;5.73
